,name,published_dt,title,video_id,comment,dislike,favorite,like,view,% likes,% dislikes,% comments
1,Mind,2018-03-18 16:41:03,#33 Mind,K6glRtg_wno,1263,29,0,9801,291567,3.3614915268188788,0.00994625592059458,0.4331765940589985
2,Millie,2018-03-18 16:41:03,#24 Millie,AwKyqyM-0j8,855,80,0,9657,253829,3.8045298212576184,0.031517281319313396,0.3368409441001619
3,Now,2018-03-19 06:29:46,#88 Now,MKw8vO_SBLg,849,159,0,8623,180681,4.772499598740321,0.08800039849237053,0.4698889202517143
4,Fond,2018-03-18 16:10:40,#16 Fond,IZnwNAYaIDo,778,99,0,3872,148363,2.6098151156285594,0.06672822738823023,0.5243895041216475
5,Jenny,2018-03-17 07:19:47,#02 Jenny,-N1qCoJL9GM,821,95,0,2696,144062,1.8714164734628145,0.06594382973997306,0.5698935180686093
6,June,2018-03-19 01:06:11,#64 June,DG71x55JufQ,498,59,0,3812,122071,3.1227728125435195,0.04833252779120348,0.40795930237320904
7,Mayme,2018-03-19 06:29:46,#82 Mayme,DKamP7lqDcA,1939,3682,0,1792,114344,1.5672007276289095,3.2201077450500244,1.6957601623172183
8,Mew,2018-03-19 06:29:46,#74 Mew,-zg3pdLCX3o,413,54,0,2428,94421,2.57146185700215,0.057190667330360836,0.437402696434056
9,Niky,2018-03-17 07:29:08,#04 Niky,EHPBEYaRWJc,308,70,0,1445,89060,1.6225016842578037,0.07859869750729845,0.3458342690321132
10,Alice,2018-03-19 06:29:46,#77 Alice,-jw3W9-1rPQ,534,38,0,2182,75042,2.9077050185229605,0.05063830921350711,0.7116015031582313
11,Fai,2018-03-18 16:41:03,#50 Fai,4KQP3bh1_I0,428,33,0,2533,74423,3.4035177297340873,0.04434113110194429,0.5750910336858229
12,Bamboo,2018-03-18 16:09:01,#14 Bamboo,v-unSmulEsw,430,45,0,1763,69599,2.533082371873159,0.06465610138076697,0.6178249687495511
13,Pink,2018-03-17 07:19:44,#01 Pink,_mrde0QCIMc,126,127,0,401,67442,0.5945849767207378,0.18830995522078228,0.18682719966786276
14,Turtle,2018-03-19 06:29:46,#95 Turtle,TYHFLQtiq-M,405,23,0,2328,67014,3.4739009759154804,0.03432118661772167,0.604351329572925
15,Phukkhom,2018-03-19 06:29:46,#84 Phukkhom,9WkSLMLa3h4,431,41,0,1726,61943,2.786432688116494,0.06618988424842194,0.695800978318777
16,Natherine,2018-03-19 06:29:46,#80 Natherine,jlS_Ud--J7w,241,17,0,4448,61829,7.194035161493797,0.027495188342040146,0.389784728848922
17,Aom,2018-03-18 16:41:03,#36 Aom,zIOo6u3JocM,241,53,0,1475,56396,2.615433718703454,0.09397829633307327,0.42733527200510674
18,Suzu,2018-03-18 17:11:33,#55 Suzu,9AXHDpa6-ns,463,22,0,2255,55074,4.094491048407597,0.039946254130805825,0.8406870755710498
19,Jann,2018-03-19 06:29:46,#73 Jann,QQT-MHPACzA,281,42,0,985,53346,1.8464364713380574,0.07873130131593746,0.5267498968994864
20,Gygee,2018-03-18 16:41:03,#22 Gygee,exsNiRQJXcM,198,54,0,1040,52421,1.983937734877244,0.10301215161862612,0.3777112226016291
21,Kati,2018-03-18 16:41:03,#38 Kati,KxOH0q4jq00,325,27,0,1324,50291,2.6326778151160246,0.05368753852577997,0.6462388896621661
22,Khamin,2018-03-19 06:29:46,#72 Khamin,jLBevCKucOs,258,23,0,1368,50017,2.735070076174101,0.045984365315792634,0.515824619629326
23,Atom,2018-03-18 16:41:03,#44 Atom,k6f82yf66XA,253,19,0,1434,49357,2.905362967765464,0.038495046295358305,0.5125919322487185
24,Minmin,2018-03-18 16:41:03,#40 Minmin,v4lxvlMveHw,232,36,0,1201,48467,2.477974704438071,0.07427734334701962,0.47867621268079313
25,View,2018-03-17 07:20:57,#03 View,db_MAqVVgfo,87,36,0,504,47549,1.0599591999831752,0.07571137142736967,0.18296914761614336
26,Mayu,2018-03-19 06:29:46,#78 Mayu,X4RN_Flf6_4,276,44,0,1120,46858,2.3902001792650136,0.09390072132826839,0.5890136156045926
27,Bibie,2018-03-18 16:41:03,#32 Bibie,m91DzvzGL-s,344,94,0,1318,46766,2.818286789547962,0.20100072702390628,0.7355771286832313
28,Preme,2018-03-17 08:10:58,#07 Preme,j5qP2gPjOHg,192,55,0,896,46039,1.9461760681161626,0.11946393275266622,0.41703772888203483
29,Aomthong,2018-03-18 16:10:07,#15 Aomthong,iOFQLaZsVeQ,179,79,0,671,43645,1.5374040554473594,0.18100584259365335,0.410127162332455
30,Lin,2018-03-18 16:38:41,#19 Lin,nrCRGJho5jU,179,86,0,728,43272,1.6823812164910337,0.19874283601405066,0.4136624144943613
