,id,name,published_dt,title,video_id,comment,dislike,favorite,like,view,% likes,% dislikes,% comments
0,1,Pink,2018-03-17 07:19:44,#01 Pink,_mrde0QCIMc,127,130,0,408,70101,0.5820173749304575,0.18544671260039086,0.1811671730788434
1,2,Jenny,2018-03-17 07:19:47,#02 Jenny,-N1qCoJL9GM,834,99,0,2754,147252,1.870263222231277,0.06723168445929427,0.5663760084752669
2,3,View,2018-03-17 07:20:57,#03 View,db_MAqVVgfo,87,37,0,507,48511,1.0451237863577334,0.07627136113458803,0.1793407680732205
3,4,Niky,2018-03-17 07:29:08,#04 Niky,EHPBEYaRWJc,308,71,0,1456,90594,1.607170452789368,0.07837163609069034,0.33997836501313555
4,5,Punpun,2018-03-17 07:37:58,#05 Punpun,W_qAURrG9SQ,127,32,0,466,41296,1.128438589693917,0.07748934521503294,0.30753583882216196
5,6,Ploysai,2018-03-17 07:42:54,#06 Ploysai,t1TGhJae04g,117,133,0,291,32330,0.9000927930714506,0.4113826167646149,0.36189297865759357
6,7,Preme,2018-03-17 08:10:58,#07 Preme,j5qP2gPjOHg,194,55,0,913,46958,1.944290642701989,0.11712594233144512,0.4131351420418246
7,8,Amy,2018-03-18 15:44:44,#08 Amy,17tq-sKv2j0,164,37,0,708,34815,2.033606204222318,0.10627603044664656,0.4710613241418929
8,9,Guitar,2018-03-18 15:45:26,#09 Guitar,DGTK7BZeZ04,148,30,0,425,27518,1.544443636892216,0.10901955083945054,0.5378297841412893
9,10,Stang,2018-03-18 15:46:32,#10 Stang,Hb0u63jUlyU,130,45,0,430,29763,1.4447468333165339,0.15119443604475355,0.4367839263515103
10,11,Ying,2018-03-18 15:47:18,#11 Ying,1SSfa1OzsJw,102,30,0,330,25541,1.2920402490113936,0.11745820445558121,0.3993578951489761
11,12,Jingjung,2018-03-18 16:01:47,#12 Jingjung,6T2XN__JIvs,140,28,0,535,28608,1.8701062639821031,0.09787472035794184,0.4893736017897092
12,13,Neen,2018-03-18 16:01:56,#13 Neen,p9wbQpcmISQ,98,36,0,282,22930,1.229829917139119,0.1569995638901003,0.4273877017008286
13,14,Bamboo,2018-03-18 16:09:01,#14 Bamboo,v-unSmulEsw,431,47,0,1780,70934,2.5093749118899256,0.0662587757633857,0.6076070713621113
14,15,Aomthong,2018-03-18 16:10:07,#15 Aomthong,iOFQLaZsVeQ,178,82,0,677,44381,1.5254275478245194,0.18476375025348685,0.40107253103805685
15,16,Fond,2018-03-18 16:10:40,#16 Fond,IZnwNAYaIDo,789,102,0,3943,221398,1.7809555641875716,0.04607087688235666,0.35637178294293537
16,17,Nhun,2018-03-18 16:18:11,#17 Nhun,EGESOZkBWfo,172,25,0,606,27262,2.2228743305700243,0.09170273640965447,0.6309148264984227
17,18,Ratah,2018-03-18 16:38:29,#18 Ratah,g_QWYRUmiDU,209,23,0,928,32889,2.8216120891483474,0.06993219617501292,0.635470826112074
18,19,Lin,2018-03-18 16:38:41,#19 Lin,nrCRGJho5jU,179,87,0,733,44052,1.66394261327522,0.19749387087986925,0.40633796422409874
19,20,Oom,2018-03-18 16:38:53,#20 Oom,cx1i4HMDgnI,235,26,0,869,39559,2.196718825046134,0.06572461386789354,0.5940493945751915
20,21,Manow,2018-03-18 16:41:03,#21 Manow,4Km6gYqsUpg,110,27,0,359,23408,1.5336637047163364,0.1153451811346548,0.4699248120300752
21,22,Gygee,2018-03-18 16:41:03,#22 Gygee,exsNiRQJXcM,200,56,0,1055,53508,1.9716677879943185,0.10465724751439037,0.3737758839799656
22,25,Vwee,2018-03-18 16:41:03,#25 Vwee,iYPk_AK3Rjw,75,22,0,406,26349,1.540855440434172,0.08349462977722115,0.2846407833314357
23,26,Dear,2018-03-18 16:41:03,#26 Dear,xSfqkoJZAnU,160,45,0,761,41168,1.848523124757093,0.10930820054411193,0.388651379712398
24,27,Fogus,2018-03-18 16:41:03,#27 Fogus,IfrY79siVWU,57,36,0,327,22929,1.4261415674473374,0.1570064110951197,0.24859348423393957
25,28,Fifa,2018-03-18 16:41:03,#28 Fifa,7yhvzEnfsek,28,20,0,155,18916,0.8194121378727003,0.10573059843518715,0.148022837809262
26,29,Mind,2018-03-18 16:41:03,#29 Mind,BAcZlnSFWeA,290,303,0,575,41892,1.3725771030268308,0.7232884560297909,0.6922562780483147
27,30,Namphung,2018-03-18 16:41:03,#30 Namphung,Nu3R2qflPuc,75,18,0,480,23896,2.0087043856712423,0.07532641446267158,0.31386006026113156
28,31,Deenee,2018-03-18 16:41:03,#31 Deenee,_WkXHY_faHA,68,23,0,331,24502,1.3509101297853237,0.09386988817239408,0.277528365031426
29,32,Bibie,2018-03-18 16:41:03,#32 Bibie,m91DzvzGL-s,347,96,0,1329,47642,2.7895554342806768,0.20150287561395405,0.7283489358129381
30,33,Mind,2018-03-18 16:41:03,#33 Mind,K6glRtg_wno,1306,31,0,9806,291938,3.3589323760524494,0.010618693010159691,0.4473552603635018
31,34,Nene,2018-03-18 16:41:03,#34 Nene,MNE1_xdcuTc,94,24,0,471,23672,1.9896924636701587,0.1013856032443393,0.39709361270699556
32,35,Confirm,2018-03-18 16:41:03,#35 Confirm,X5RTAeftCfk,102,33,0,393,21169,1.8564882611365674,0.1558883272710095,0.48183664792857483
33,36,Aom,2018-03-18 16:41:03,#36 Aom,zIOo6u3JocM,248,54,0,1501,57549,2.6082121322698915,0.09383308137413335,0.4309371144589828
34,37,Ice,2018-03-18 16:41:03,#37 Ice,GSZXTIsbaKM,60,33,0,270,22826,1.182861648996758,0.14457197932182597,0.26285814422150183
35,38,Kati,2018-03-18 16:41:03,#38 Kati,KxOH0q4jq00,326,29,0,1332,51111,2.6060926219404825,0.05673925378098648,0.637827473537986
36,39,Kaew,2018-03-18 16:41:03,#39 Kaew,kYaazyfaQjI,141,16,0,738,26676,2.766531713900135,0.05997900734742839,0.5285650022492128
37,40,Minmin,2018-03-18 16:41:03,#40 Minmin,v4lxvlMveHw,232,37,0,1206,49200,2.451219512195122,0.07520325203252033,0.47154471544715454
38,41,Dear,2018-03-18 16:41:03,#41 Dear,2ad0SrSdTV8,69,23,0,332,20875,1.5904191616766465,0.11017964071856287,0.33053892215568864
39,42,Panda,2018-03-18 16:41:03,#42 Panda,lviz8KQuS-s,273,88,0,942,40044,2.3524123464189395,0.21975826590750178,0.6817500749175907
40,43,Iya,2018-03-18 16:41:03,#43 Iya,zDutku415GQ,59,32,0,281,26103,1.0765046163276253,0.1225912730337509,0.22602765965597824
41,44,Atom,2018-03-18 16:41:03,#44 Atom,k6f82yf66XA,254,19,0,1445,50126,2.8827355065235607,0.03790448070861429,0.5067230578941069
42,45,Matilda,2018-03-18 16:41:03,#45 Matilda,2uk-gLcgHW4,104,26,0,426,21753,1.9583505723348504,0.1195237438514228,0.4780949754056912
43,47,Maira,2018-03-18 16:41:03,#47 Maira,OLj3rYiurCI,150,29,0,568,24560,2.3127035830618894,0.11807817589576547,0.6107491856677525
44,48,Ply,2018-03-18 16:41:03,#48 Ply,MJPGLU2yWHI,154,30,0,620,35784,1.7326179298010285,0.08383635144198524,0.4303599374021909
45,49,Wafer,2018-03-18 16:41:03,#49 Wafer,613wVYJWSmA,76,26,0,387,22318,1.7340263464468142,0.11649789407653015,0.34053230576216503
46,50,Fai,2018-03-18 16:41:03,#50 Fai,4KQP3bh1_I0,432,35,0,2554,75691,3.374245286758003,0.04624063627115509,0.5707415676896856
47,51,Lukpear,2018-03-18 17:11:33,#51 Lukpear,NM5sDTnZhzE,85,18,0,750,23898,3.138337936228973,0.07532011046949535,0.35567829943928364
48,52,Wawa,2018-03-18 17:11:33,#52 Wawa,nheASol29nw,53,12,0,326,20018,1.6285343191127986,0.05994604855629933,0.2647617144569887
49,53,Ningning,2018-03-18 17:11:33,#53 Ningning,I8_-HSMfJjI,152,120,0,379,24658,1.5370265228323465,0.4866574742477086,0.6164328007137643
50,54,Ava,2018-03-18 17:11:33,#54 Ava,xv2FJ12GWWE,121,55,0,407,31624,1.286997217303314,0.17391854287882622,0.38262079433341767
51,55,Suzu,2018-03-18 17:11:33,#55 Suzu,9AXHDpa6-ns,465,23,0,2268,55856,4.06044113434546,0.041177313090804926,0.8324978516184474
52,56,Ploy,2018-03-18 17:11:33,#56 Ploy,hAp99a9QTN8,49,20,0,342,18798,1.8193424832428984,0.10639429726566656,0.26066602830088303
53,57,JJ,2018-03-18 17:11:33,#57 JJ,y0wzpNJVNvs,54,24,0,231,18295,1.2626400655916918,0.13118338343809785,0.29516261273572014
54,58,Da,2018-03-18 17:11:33,#58 Da,8mHqXdOJEE4,162,27,0,477,24576,1.94091796875,0.10986328125,0.6591796875
55,59,Alexis,2018-03-18 17:11:33,#59 Alexis,fy5yyCmKgsI,172,37,0,519,27997,1.8537700467907277,0.13215701682323105,0.6143515376647498
56,60,Yiwa,2018-03-18 17:11:33,#60 Yiwa,dHwlfn1RWbA,82,18,0,355,22918,1.549000785408849,0.0785408848939698,0.3577973645169736
57,61,Nine,2018-03-19 01:06:11,#61 Nine,qh5qNfYWxMM,84,17,0,390,18036,2.162341982701264,0.09425593257928588,0.4657351962741184
58,62,Miu,2018-03-19 01:06:11,#62 Miu,sOEN_kGFJws,98,19,0,678,29893,2.2680895192854513,0.06356003077643595,0.32783594821530126
59,63,Next,2018-03-19 01:06:11,#63 Next,_6bUdx5YwZQ,61,14,0,355,19682,1.8036784879585408,0.0711309826237171,0.30992785286048163
60,64,June,2018-03-19 01:06:11,#64 June,DG71x55JufQ,510,60,0,3867,124755,3.099675363712877,0.0480942647589275,0.4088012504508838
61,65,Aomkham,2018-03-19 01:06:11,#65 Aomkham,AaqI46KtnP8,72,16,0,332,16374,2.027604739220716,0.09771589104678148,0.4397215097105167
62,66,Oum,2018-03-19 01:06:11,#66 Oum,HPSeNZGDhNI,245,21,0,941,24390,3.8581385813858136,0.08610086100861009,1.004510045100451
63,67,Mildoe,2018-03-19 01:06:11,#67 Mildoe,ffWdv7Qzovk,107,34,0,351,18806,1.8664256088482398,0.18079336382005742,0.5689673508454749
64,68,Jaja,2018-03-19 01:06:11,#68 Jaja,KVkPVXWzxxE,75,13,0,508,21814,2.3287796827725313,0.05959475566150178,0.3438158980471257
65,69,Mulan,2018-03-19 01:06:11,#69 Mulan,vX4fI_A3ADI,543,625,0,393,38468,1.021628366434439,1.6247270458562963,1.41156285743995
66,70,Cake,2018-03-19 01:06:11,#70 Cake,Rn7cDb8c2CY,93,16,0,577,26481,2.1789207356217664,0.06042067897738001,0.3511951965560213
67,71,Pakwan,2018-03-19 06:29:46,#71 Pakwan,uSP13xM0ZbA,190,32,0,576,33269,1.7313414890739127,0.09618563828188403,0.5711022272986864
68,72,Khamin,2018-03-19 06:29:46,#72 Khamin,jLBevCKucOs,260,24,0,1377,50727,2.7145307232834583,0.04731208232302324,0.5125475584994185
69,73,Jann,2018-03-19 06:29:46,#73 Jann,QQT-MHPACzA,284,44,0,994,54174,1.834828515524052,0.08121977332299628,0.5242367187211577
