name,datetime (utc timezone),fan_count
bnk48official.cherprang,2018-10-01 05:00:00,548716
bnk48official.pun,2018-10-01 05:00:00,547260
bnk48official.orn,2018-10-01 05:00:00,346920
bnk48official.jennis,2018-10-01 05:00:00,274617
bnk48official.noey,2018-10-01 05:00:00,273671
bnk48official.mobile,2018-10-01 05:00:00,270838
bnk48official.music,2018-10-01 05:00:00,262223
bnk48official.kaimook,2018-10-01 05:00:00,247908
bnk48official.kaew,2018-10-01 05:00:00,216546
bnk48official.namneung,2018-10-01 05:00:00,176754
bnk48official.mewnich,2018-10-01 05:00:00,176217
bnk48official.tarwaan,2018-10-01 05:00:00,169492
bnk48official.pupe,2018-10-01 05:00:00,167657
bnk48official.satchan,2018-10-01 05:00:00,163558
bnk48official.natherine,2018-10-01 05:00:00,160302
bnk48official.jan,2018-10-01 05:00:00,151559
bnk48official.namsai,2018-10-01 05:00:00,134066
bnk48official.jane,2018-10-01 05:00:00,124210
bnk48official.fond,2018-10-01 05:00:00,111374
bnk48official.ratah,2018-10-01 05:00:00,110452
bnk48official.june,2018-10-01 05:00:00,110277
bnk48official.mind,2018-10-01 05:00:00,106752
bnk48official.miori,2018-10-01 05:00:00,105236
bnk48official.korn,2018-10-01 05:00:00,104531
bnk48official.maysa,2018-10-01 05:00:00,98715
bnk48official.wee,2018-10-01 05:00:00,89475
bnk48official.nink,2018-10-01 05:00:00,84493
bnk48official.jaa,2018-10-01 05:00:00,84090
bnk48official.piam,2018-10-01 05:00:00,80730
bnk48official.jib,2018-10-01 05:00:00,79847
bnk48official.phukkhom,2018-10-01 05:00:00,76449
bnk48official.izutarina,2018-10-01 05:00:00,75672
bnk48official.new,2018-10-01 05:00:00,68488
bnk48official.bamboo,2018-10-01 05:00:00,66027
bnk48official.minmin,2018-10-01 05:00:00,58064
bnk48official.kate,2018-10-01 05:00:00,56894
bnk48official.cake,2018-10-01 05:00:00,56579
bnk48official.view,2018-10-01 05:00:00,51319
bnk48official.panda,2018-10-01 05:00:00,49674
bnk48official.gygee,2018-10-01 05:00:00,48001
pakwan.bnk48official,2018-10-01 05:00:00,47186
bnk48official.kheng,2018-10-01 05:00:00,45102
bnk48official.myyu,2018-10-01 05:00:00,43941
bnk48official.stang,2018-10-01 05:00:00,42688
bnk48official.oom,2018-10-01 05:00:00,41549
bnk48official.niky,2018-10-01 05:00:00,40920
bnk48official.maira,2018-10-01 05:00:00,40854
bnk48official.aom,2018-10-01 05:00:00,40362
bnk48official.faii,2018-10-01 05:00:00,39209
bnk48official.deenee,2018-10-01 05:00:00,30755
bnk48official.khamin,2018-10-01 05:00:00,28850
bnk48official.fifa,2018-10-01 05:00:00,26659
bnk48official.nine,2018-10-01 05:00:00,25847
bnk48official.cherprang,2018-10-01 04:00:00,548672
bnk48official.pun,2018-10-01 04:00:00,547229
bnk48official.orn,2018-10-01 04:00:00,346891
bnk48official.jennis,2018-10-01 04:00:00,274590
bnk48official.noey,2018-10-01 04:00:00,273642
bnk48official.mobile,2018-10-01 04:00:00,270814
bnk48official.music,2018-10-01 04:00:00,262200
bnk48official.kaimook,2018-10-01 04:00:00,247894
bnk48official.kaew,2018-10-01 04:00:00,216520
bnk48official.namneung,2018-10-01 04:00:00,176741
bnk48official.mewnich,2018-10-01 04:00:00,176196
bnk48official.tarwaan,2018-10-01 04:00:00,169484
bnk48official.pupe,2018-10-01 04:00:00,167648
