name,datetime (utc timezone),followed
pun.bnk48official,2018-10-01 05:00:00,712035
cherprang.bnk48official,2018-10-01 05:00:00,557141
orn.bnk48official,2018-10-01 05:00:00,506953
jennis.bnk48official,2018-10-01 05:00:00,454998
mobile.bnk48official,2018-10-01 05:00:00,449381
music.bnk48official,2018-10-01 05:00:00,433102
noey.bnk48office,2018-10-01 05:00:00,400103
kaimook.bnk48official,2018-10-01 05:00:00,376206
kaew.bnk48official,2018-10-01 05:00:00,343673
jane.bnk48official,2018-10-01 05:00:00,321021
tarwaan.bnk48office,2018-10-01 05:00:00,305454
namneung.bnk48official,2018-10-01 05:00:00,298520
mewnich.bnk48official,2018-10-01 05:00:00,293267
satchan.bnk48official,2018-10-01 05:00:00,289962
pupe.bnk48official,2018-10-01 05:00:00,288522
namsai.bnk48official,2018-10-01 05:00:00,271539
june.bnk48office,2018-10-01 05:00:00,270487
miori.bnk48official,2018-10-01 05:00:00,244812
fond.bnk48office,2018-10-01 05:00:00,233681
jaa.bnk48official,2018-10-01 05:00:00,228444
rinaizuta.bnk48official,2018-10-01 05:00:00,225568
maysa.bnk48official,2018-10-01 05:00:00,218995
mind.bnk48official,2018-10-01 05:00:00,217899
korn.bnk48official,2018-10-01 05:00:00,210372
ratah.bnk48official,2018-10-01 05:00:00,205697
nink.bnk48official,2018-10-01 05:00:00,196557
wee.bnk48official,2018-10-01 05:00:00,191804
kate.bnk48official,2018-10-01 05:00:00,186171
jib.bnk48office,2018-10-01 05:00:00,179853
piam.bnk48office,2018-10-01 05:00:00,175791
bamboo.bnk48office,2018-10-01 05:00:00,161435
phukkhom.bnk48office,2018-10-01 05:00:00,156523
myyu.bnk48official,2018-10-01 05:00:00,150146
cake.bnk48official,2018-10-01 05:00:00,147291
new.bnk48official,2018-10-01 05:00:00,145447
view.bnk48official,2018-10-01 05:00:00,136992
natherine.bnk48official,2018-10-01 05:00:00,132806
minmin.bnk48office,2018-10-01 05:00:00,131418
aom.bnk48official,2018-10-01 05:00:00,131154
gygee.bnk48official,2018-10-01 05:00:00,130556
niky.bnk48office,2018-10-01 05:00:00,130041
kheng.bnk48official,2018-10-01 05:00:00,129194
pakwan.bnk48office,2018-10-01 05:00:00,129189
panda.bnk48official,2018-10-01 05:00:00,122961
khamin.bnk48official,2018-10-01 05:00:00,119999
stang.bnk48office,2018-10-01 05:00:00,118593
faii.bnk48official,2018-10-01 05:00:00,117086
deenee.bnk48official,2018-10-01 05:00:00,115491
oom.bnk48official,2018-10-01 05:00:00,113131
maira.bnk48official,2018-10-01 05:00:00,109929
fifa.bnk48official,2018-10-01 05:00:00,107095
