band,name,title,video_id,comment,dislike,like,view
TPE48,Shih-Ya Chen,TPE48  陳 詩雅 (SHIH-YA CHEN / チェン シーヤー),ZZ6kBIs6DSU,,,,18966
TPE48,Shih-Yuan Chen,TPE48  陳 詩媛 (SHIH-YUAN CHEN / チェン シーユエン),JPNvnqGCVo4,,,,10021
TPE48,Yuzuka Honda,TPE48  本田 柚萱 (YUZUKA HONDA / ホンダ ユズカ),OsUbHP0VbPU,,,,12760
TPE48,Pin-Han Chiu,TPE48  邱 品涵 (PIN-HAN CHIU / チウ ピンハン),CAe8LofQSt4,,,,8601
TPE48,Tik Kei Sin,TPE48  冼 迪琦 (TIK KEI SIN / シェー ディーチー),RLcU1X4BV6c,,,,17866
BNK48,Cherprang Areekul,BNK48 キャプテン [Captain]  CHERPRANG (CHERPRANG AREEKUL / チャープラン),Uk-uRg4JNfQ,,,,293407
BNK48,Rina Izuta,BNK48 Team BIII  IZURINA (伊豆田 莉奈 / イズリナ),jkTaeNGmFLM,,,,128809
BNK48,Napaphat Worraphuttanon,BNK48 Team BIII  JAA (NAPAPHAT WORRAPHUTTANON / ジャー),1IlNlUV1eMo,,,,40696
BNK48,Jennis Oprasert,BNK48 Team BIII 副キャプテン [Vice Captain]  JENNIS (JENNIS OPRASERT / ジェニス),Ps8iWW68ys4,,,,163166
BNK48,Warattaya Deesomlert,BNK48 Team BIII  KAIMOOK (WARATTAYA DEESOMLERT / カイムック),mELcHJ4BFpY,,,,112791
BNK48,Korapat Nilprapa,BNK48 Team BIII  KATE (KORAPAT NILPRAPA / ケート),XLWAiENfkoc,,,,55613
BNK48,Miori Ohkubo,BNK48 Team BIII  MIORI (大久保 美織 / ミオリ),Hf4o9u-Aby4,,,,104118
BNK48,Praewa Suthamphong,BNK48 Team BIII  MUSIC (PRAEWA SUTHAMPHONG / ミュージック),OTWBg_wO4G0,,,,220376
BNK48,Sawitchaya Kajonrungsilp,BNK48 Team BIII  SATCHAN (SAWITCHAYA KAJONRUNGSILP / サッチャン),jaYn1M4ZvK8,,,,129728
BNK48,Mananya Kaoju,BNK48 研究生 [Trainee]  NINK (MANANYA KAOJU / ニンク),QLgGqYuaQ-0,,,,51782
STU48,Chiho Ishida,STU48 石田 千穂 (CHIHO ISHIDA),CDUqC-FkBtA,,,,12614
STU48,Minami Ishida,STU48 石田 みなみ (MINAMI ISHIDA),zUqjT4iU3_A,,,,4161
STU48,Kanon Isogai,STU48 磯貝 花音 (KANON ISOGAI),dXa80CXqn48,,,,2900
STU48,Ayumi Ichioka,STU48 市岡 愛弓 (AYUMI ICHIOKA),5gSmV_8UTQ0,,,,5741
STU48,Mitsuki Imamura,STU48 今村 美月 (MITSUKI IMAMURA),IURoYpdyszQ,,,,3254
STU48,Hina Iwata,STU48 岩田 陽菜 (HINA IWATA),Rqtgmcs3wHs,,,,8335
STU48,Marina Otani,STU48 大谷 満理奈 (MARINA OTANI),y1DwKSQWxQ0,,,,3642
STU48,Kokoa Kai,STU48 甲斐 心愛 (KOKOA KAI),GkiKq7Qpk0A,,,,4330
STU48,Momona Kadota,STU48 門田 桃奈 (MOMONA KADOTA),ADAptf0knMw,,,,2041
STU48,Miyuna Kadowaki,STU48 門脇 実優菜 (MIYUNA KADOWAKI),8TMQcNaFSqw,,,,2824
STU48,Miyu Sakaki,STU48 榊 美優 (MIYU SAKAKI),jgOmCT5vL-M,,,,3418
STU48,Haruka Sano,STU48 佐野 遥 (HARUKA SANO),Mkc3TmuW05Q,,,,2081
STU48,Hinako Shioi,STU48 塩井 日奈子 (HINAKO SHIOI),F45YIcRlCf8,,,,1780
STU48,Nonoka Shintani,STU48 新谷 野々花 (NONOKA SHINTANI),YZYmdH83V5E,,,,2572
STU48,Saki Sugahara,STU48 菅原 早記 (SAKI SUGAHARA),GG0g3vCnz9Q,,,,1677
STU48,Yumiko Takino,STU48 瀧野 由美子 (YUMIKO TAKINO),49tGyElQkdI,,,,24460
STU48,Kouko Tanaka,STU48 田中 皓子 (KOUKO TANAKA),L-APjQGkTpM,,,,3623
STU48,Mahina Taniguchi,STU48 谷口 茉妃菜 (MAHINA TANIGUCHI),o4s9QX0_E6A,,,,1481
STU48,Yuri Torobu,STU48 土路生 優里 (YURI TOROBU),Uan1_voWnl8,,,,4379
STU48,Aoi Hyodo,STU48 兵頭 葵 (AOI HYODO),cSaLlUg1D5o,,,,1735
STU48,Akari Fukuda,STU48 福田 朱里 (AKARI FUKUDA),Q3mekuyeHoM,,,,3488
STU48,Azusa Fujiwara,STU48 藤原 あずさ (AZUSA FUJIWARA),Mi9OuLzP2dM,,,,2047
STU48,Haruka Mishima,STU48 三島 遥香 (HARUKA MISHIMA),5oEPaqqWzdk,,,,1419
STU48,Arisa Mineyoshi,STU48 峯吉 愛梨沙 (ARISA MINEYOSHI),fRZbnyLDXmw,,,,3100
STU48,Kaho Mori,STU48 森 香穂 (KAHO MORI),EZNPoxuQiMA,,,,1669
STU48,Maiha Morishita,STU48 森下 舞羽 (MAIHA MORISHITA),-Xez4_UaEIo,,,,1897
STU48,Honoka Yano,STU48 矢野 帆夏 (HONOKA YANO),QfQaS1J-ss4,,,,2252
STU48,Fu Yabushita,STU48 薮下 楓 (FU YABUSHITA),Bs_7QV5mTpc,,,,9491
STU48,Yuka Oki,STU48 ドラフト研究生 [Draft trainee]  沖 侑果 (YUKA OKI),VsrnkS5JRns,,,,3258
STU48,Soraha Shinano,STU48 ドラフト研究生 [Draft trainee]  信濃 宙花 (SORAHA SHINANO),vi5EAlY5xbM,,,,2358
STU48,Mai Nakamura,STU48 ドラフト研究生 [Draft trainee]  中村 舞 (MAI NAKAMURA),ecVAMbxMdSc,,,,3480
STU48,Aiko Mizoguchi,STU48 ドラフト研究生 [Draft trainee]  溝口 亜以子 (AIKO MIZOGUCHI),y28OPwGXGBs,,,,2302
STU48,Akari Yura,STU48 ドラフト研究生 [Draft trainee]  由良 朱合 (AKARI YURA),9_6qcrg5Gjs,,,,2379
NGT48,Yuka Ogino,NGT48Team NIII 副キャプテン [Vice Captain]  荻野 由佳 (YUKA OGINO),MTRFZBVGgqk,,,,71700
NGT48,Tsugumi Oguma,NGT48 Team NIII  小熊 倫実 (TSUGUMI OGUMA),FReUJJzzCA8,,,,15469
NGT48,Minami Kato,NGT48 Team NIII  加藤 美南 (MINAMI KATO),Sz2k-_DFDwE,,,,43815
NGT48,Anju Sato,NGT48 Team NIII  佐藤 杏樹 (ANJU SATO),eRy9ZgmSPO4,,,,8266
NGT48,Riko Sugahara,NGT48 Team NIII  菅原 りこ (RIKO SUGAHARA),RTvWhiWsOtM,,,,9360
NGT48,Moeka Takakura,NGT48 Team NIII  高倉 萌香 (MOEKA TAKAKURA),LUc8InWywt8,,,,16743
NGT48,Ayaka Tano,NGT48 Team NIII  太野 彩香 (AYAKA TANO),QsWk6cObgoU,,,,7535
NGT48,Rika Nakai,NGT48 Team NIII  中井 りか (RIKA NAKAI),urP08SlVVxg,,,,100472
NGT48,Marina Nishigata,NGT48 Team NIII  西潟 茉莉奈 (MARINA NISHIGATA),5fS-G3Wxb4w,,,,13013
NGT48,Rena Hasegawa,NGT48 Team NIII  長谷川 玲奈 (RENA HASEGAWA),GC-0Y1IJERA,,,,6952
NGT48,Hinata Homma,NGT48 Team NIII  本間 日陽 (HINATA HOMMA),o36cAEuu0f0,,,,31915
NGT48,Fuka Murakumo,NGT48 Team NIII  村雲 颯香 (FUKA MURAKUMO),Mxp7Y8UjSo4,,,,7321
NGT48,Maho Yamaguchi,NGT48 Team NIII  山口 真帆 (MAHO YAMAGUCHI),zpjM19lv4-Q,,,,9720
NGT48,Noe Yamada,NGT48 Team NIII  山田 野絵 (NOE YAMADA),uqJLNG6uZo4,,,,8167
NGT48,Chikana Ando,NGT48 Team NIII ドラフト研究生 [Draft trainee]  安藤 千伽奈 (CHIKANA ANDO),4CEhnrl-V4w,,,,5684
NGT48,Kairi Sato,NGT48 Team NIII ドラフト研究生 [Draft trainee]  佐藤 海里 (KAIRI SATO),tOW9XQePPUo,,,,5073
NGT48,Nanami Takahashi,NGT48 Team NIII ドラフト研究生 [Draft trainee]  高橋 七実 (NANAMI TAKAHASHI),CtGHG7jnTX0,,,,5767
NGT48,Yunako Tsushima,NGT48 Team NIII ドラフト研究生 [Draft trainee]  對馬 優菜子 (YUNAKO TSUSHIMA),TxV64lSxwwg,,,,7094
NGT48,Miyu Fujisaki,NGT48 Team NIII ドラフト研究生 [Draft trainee]  藤崎 未夢 (MIYU FUJISAKI),H9tTeVZrQ-g,,,,4505
NGT48,Yuria Kado,NGT48 研究生 [Trainee]  角 ゆりあ (YURIA KADO),f91k8AgiECM,,,,7230
NGT48,Aina Kusakabe,NGT48 研究生 [Trainee]  日下部 愛菜 (AINA KUSAKABE),rHOxw8qJfyo,,,,5126
NGT48,Reina Seiji,NGT48 研究生 [Trainee]  清司 麗菜 (REINA SEIJI),ISGRKVZhLZg,,,,29533
NGT48,Mau Takahashi,NGT48 研究生 [Trainee]  髙橋 真生 (MAU TAKAHASHI),I3Re75LLf90,,,,5649
NGT48,Ayuka Nakamura,NGT48 研究生 [Trainee]  中村 歩加 (AYUKA NAKAMURA),mAgDcu3SRUk,,,,8163
NGT48,Miharu Nara,NGT48 研究生 [Trainee]  奈良 未遥 (MIHARU NARA),YAGMXxDaNQg,,,,9544
NGT48,Nanako Nishimura,NGT48 研究生 [Trainee]  西村 菜那子 (NANAKO NISHIMURA),DmNu8pcrmBM,,,,4699
HKT48,Yuka Akiyoshi,HKT48 Team H  秋吉 優花 (YUKA AKIYOSHI),4norMUoxkH8,,,,10352
HKT48,Haruka Ueno,HKT48 Team H  上野 遥 (HARUKA UENO),p4YjLlEFQoA,,,,3571
HKT48,Yui Kojina,HKT48 Team H  神志那 結衣 (YUI KOJINA),7Hmo9ks6czs,,,,7479
HKT48,Hiroka Komada,HKT48 Team H  駒田 京伽 (HIROKA KOMADA),sGRgS3dDW5A,,,,4699
HKT48,Riko Sakaguchi,HKT48 Team H  坂口 理子 (RIKO SAKAGUCHI),Jiuux3ycUn4,,,,7110
HKT48,Meru Tashima,HKT48 Team H  田島 芽瑠 (MERU TASHIMA),6zLCZwTP43M,,,,12597
HKT48,Natsumi Tanaka,HKT48 Team H  田中 菜津美 (NATSUMI TANAKA),fo2e8qi7pmo,,,,7620
HKT48,Miku Tanaka,HKT48 Team H  田中 美久 (MIKU TANAKA),b9OTi6nWQAY,,,,40932
HKT48,Aki Toyonaga,HKT48 Team H  豊永 阿紀 (AKI TOYONAGA),6RiqV1Fqquo,,,,18023
HKT48,Natsumi Matsuoka,HKT48 Team H キャプテン [Captain]  松岡 菜摘 (NATSUMI MATSUOKA),YVdN3Cs2Ljo,,,,11158
HKT48,Nako Yabuki,HKT48 Team H  矢吹 奈子 (NAKO YABUKI),qTlZoJifsSE,,,,72232
HKT48,Yueru Ito,HKT48 Team H ドラフト研究生 [Draft trainee]  伊藤 優絵瑠 (YUERU ITO),6vVBO5K36JQ,,,,2972
HKT48,Akari Watanabe,HKT48 Team H ドラフト研究生 [Draft trainee]  渡部 愛加里 (AKARI WATANABE),xcvAigInY60,,,,5899
HKT48,Shino Iwahana,HKT48 Team KIV  岩花 詩乃 (SHINO IWAHANA),Fre_hKRm6hg,,,,2972
HKT48,Nao Ueki,HKT48 Team KIV  植木 南央 (NAO UEKI),43dvJXDB05A,,,,5126
HKT48,Hirona Unjo,HKT48 Team KIV  運上 弘菜 (HIRONA UNJO),L2-W_Z2btgg,,,,8399
HKT48,Serina Kumazawa,HKT48 Team KIV  熊沢 世莉奈 (SERINA KUMAZAWA),FwG4KcaSFzQ,,,,2972
HKT48,Yuki Shimono,HKT48 Team KIV  下野 由貴 (YUKI SHIMONO),6O02T5gZu4s,,,,2559
HKT48,Nene Jitoe,HKT48 Team KIV  地頭江 音々 (NENE JITOE),f_loujMEJwQ,,,,5755
HKT48,Mio Tomonaga,HKT48 Team KIV  朝長 美桜 (MIO TOMONAGA),SUoKcDtbPA8,,,,19610
HKT48,Maiko Fukagawa,HKT48 Team KIV  深川 舞子 (MAIKO FUKAGAWA),gmQ_trhkLiE,,,,2669
HKT48,Mai Fuchigami,HKT48 Team KIV  渕上 舞 (MAI FUCHIGAMI),p79OFgomogU,,,,5749
HKT48,Sakura Miyawaki,HKT48 Team KIV 副キャプテン [Vice Captain]  宮脇 咲良 (SAKURA MIYAWAKI),iluTBJLwv1E,,,,207441
HKT48,Aoi Motomura,HKT48 Team KIV キャプテン [Captain]  本村 碧唯 (AOI MOTOMURA),Y8bJG2tWkpU,,,,12343
HKT48,Sayaka Baba,HKT48 Team KIV ドラフト研究生 [Draft trainee]  馬場 彩華 (SAYAKA BABA),YIbiUJioMwk,,,,3847
HKT48,Misaki Aramaki,HKT48 Team TII  荒巻 美咲 (MISAKI ARAMAKI),8ZAmkGc1_SU,,,,5276
HKT48,Maria Imamura,HKT48 Team TII  今村 麻莉愛 (MARIA IMAMURA),EZRAIx8mvUU,,,,23440
HKT48,Ayaka Oda,HKT48 Team TII  小田 彩加 (AYAKA ODA),RAiGvpelobk,,,,4768
HKT48,Sae Kurihara,HKT48 Team TII  栗原 紗英 (SAE KURIHARA),KWJC9j37Cfs,,,,4037
HKT48,Moeka Sakai,HKT48 Team TII  堺 萌香 (MOEKA SAKAI),F65qFprLNK4,,,,4256
HKT48,Erena Sakamoto,HKT48 Team TII  坂本 愛玲菜 (ERENA SAKAMOTO),qtFwMOcC8PQ,,,,2936
HKT48,Rio Shimizu,HKT48 Team TII  清水 梨央 (RIO SHIMIZU),Vqg9V-iIBSk,,,,3039
HKT48,Tomoka Takeda,HKT48 Team TII  武田 智加 (TOMOKA TAKEDA),Q8hfOIqwu8g,,,,5396
HKT48,Amane Tsukiashi,HKT48 Team TII  月足 天音 (AMANE TSUKIASHI),dj6ji44gTx8,,,,4351
HKT48,Hazuki Hokazono,HKT48 Team TII 副キャプテン [Vice Captain]  外薗 葉月 (HAZUKI HOKAZONO),XgOT2PaQgno,,,,3698
HKT48,Hana Matsuoka,HKT48 Team TII  松岡 はな (HANA MATSUOKA),nNDz6TDPS10,,,,31918
HKT48,Hinata Matsumoto,HKT48 Team TII  松本 日向 (HINATA MATSUMOTO),V00lbOJyCMc,,,,4401
HKT48,Sono Miyazaki,HKT48 Team TII  宮﨑 想乃 (SONO MIYAZAKI),Rpv7O1uqMQ0,,,,3022
HKT48,Bibian Murakawa,HKT48 Team TII  村川 緋杏 (BIBIAN MURAKAWA),XXCDzJ-4Lo4,,,,11703
HKT48,Yuna Yamauchi,HKT48 Team TII  山内 祐奈 (YUNA YAMAUCHI),uOs4SzgVies,,,,2618
HKT48,Ai Seki,HKT48 Team TII ドラフト研究生 [Draft trainee]  石 安伊 (AI SEKI),NC1wY0cWjz0,,,,3413
HKT48,Yumi Matsuda,HKT48 Team TII ドラフト研究生 [Draft trainee]  松田 祐実 (YUMI MATSUDA),qBkE-MkphT4,,,,3350
NMB48,Yuki Azuma,NMB48 Team N  東 由樹 (YUKI AZUMA),KpVen2LZ5TM,,,,9645
NMB48,Cocona Umeyama,NMB48 Team N  梅山 恋和 (COCONA UMEYAMA),GafutB7SLVM,,,,19301
NMB48,Karin Kojima,NMB48 Team N  小嶋 花梨 (KARIN KOJIMA),h0fNhMLCVbU,,,,7642
NMB48,Airi Tanigawa,NMB48 Team N  谷川 愛梨 (AIRI TANIGAWA),KqaJW4pYVqs,,,,8788
NMB48,Kokoro Naiki,NMB48 Team N  内木 志 (KOKORO NAIKI),fix2YIjFsbI,,,,4555
NMB48,Shion Hori,NMB48 Team N  堀 詩音 (SHION HORI),LxP8ngQF5EA,,,,4244
NMB48,Yuzuha Hongo,NMB48 Team N  本郷 柚巴 (YUZUHA HONGO),azlSJvrvtqc,,,,7651
NMB48,Rina Yamao,NMB48 Team N 副キャプテン [Vice Captain]  山尾 梨奈 (RINA YAMAO),m2-F8mYmVz8,,,,4757
NMB48,Ayaka Yamamoto,NMB48 Team N  山本 彩加 (AYAKA YAMAMOTO),2us-zGQuxy0,,,,23795
NMB48,Wakana Abe,NMB48 Team N ドラフト研究生 [Draft trainee]  安部 若菜 (WAKANA ABE),TNsa61YOItM,,,,5186
NMB48,Ayano Izumi,NMB48 Team N ドラフト研究生 [Draft trainee]  泉 綾乃 (AYANO IZUMI),w3pzdppz0wU,,,,3663
NMB48,Nanaho Kawano,NMB48 Team N ドラフト研究生 [Draft trainee]  河野 奈々帆 (NANAHO KAWANO),hqCDq-Rf0_Q,,,,2567
NMB48,Reiko Maeda,NMB48 Team N ドラフト研究生 [Draft trainee]  前田 令子 (REIKO MAEDA),42WjkzFwDxM,,,,3407
NMB48,Maria Mizobuchi,NMB48 Team N ドラフト研究生 [Draft trainee]  溝渕 麻莉亜 (MARIA MIZOBUCHI),oCOLnv79t0A,,,,3392
NMB48,Kanae Iso,NMB48 Team M 副キャプテン [Vice Captain]  磯 佳奈江 (KANAE ISO),5XehrtCjOIQ,,,,4608
NMB48,Momoka Iwata,NMB48 Team M  岩田 桃夏 (MOMOKA IWATA),NL28oXyBWeA,,,,5276
